EVA_ID,Station_Name,DS100,Country,UIC_Code
8186126,"Bahnhof (Bahnhofstraße), Kalsdorf bei Graz (A)",PAAYZ,Austria,81
8173056,"Bahnhof (Bahnhofstraße), Kindberg (A)",PAAJD,Austria,81
8179106,"Bahnhof (Bahnhofstraße), Kremsmünster (A)",PAACT,Austria,81
8175420,"Bahnhof (Bahnhofstraße), Loosdorf (A)",PAAPY,Austria,81
8174318,"Bahnhof (Bahnhofstraße), Mattighofen (A)",PAMAB,Austria,81
8174187,"Bahnhof (Bahnhofstraße), Mauerkirchen (A)",PAMB,Austria,81
8170246,"Bahnhof (Bahnhofstraße), Neuhofen a. d. Krems (A)",PAACP,Austria,81
8179229,"Bahnhof (Bahnhofstraße), Neulengbach (A)",PAAXI,Austria,81
8178132,"Bahnhof (Bahnhofstraße), Oberdrauburg (A)",OAO B,Austria,81
8171270,"Bahnhof (Bahnhofstraße), Perg (A)",PAAEM,Austria,81
8178268,"Bahnhof (Bahnhofstraße), Pitten (A)",PAAUN,Austria,81
8177205,"Bahnhof (Bahnhofstraße), Schwanenstadt (A)",PASVZ,Austria,81
8172324,"Bahnhof (Bahnhofstraße), Selzthal (A)",PAABI,Austria,81
8175019,"Bahnhof (Bahnhofstraße), Söchau (A)",PAAKH,Austria,81
8179246,"Bahnhof (Bahnhofstraße), Traismauer (A)",PAAHJ,Austria,81
8170274,"Bahnhof (Bahnhofstraße), Traun (A)",PATOB,Austria,81
8172192,"Bahnhof (Bahnhofstraße), Vitis (A)",PABBT,Austria,81
8177210,"Bahnhof (Bahnhofstraße), Vöcklabruck (A)",PAASK,Austria,81
8177289,"Bahnhof (Bahnhofstraße), Vöcklamarkt (A)",PAASL,Austria,81
8170555,"Bahnhof (Bahnhofstraße), Werndorf (A)",PAANI,Austria,81
8177094,"Bahnhof (Bahnhofstraße), Zeltweg (A)",PAZBB,Austria,81
8183092,"Bahnhof (Bahnstraße), Felixdorf (A)",PAADH,Austria,81
8171067,"Bahnhof (Bahnstraße), Horn (A)",PABBP,Austria,81
8172280,"Bahnhof (Bahnstraße), Kapfenberg (A)",PAAIO,Austria,81
8176164,"Bahnhof (Bahnstraße), Ladendorf (A)",PAALJ,Austria,81
8176240,"Bahnhof (Bahnstraße), Oberwaltersdorf (A)",PAATP,Austria,81
8173066,"Bahnhof (Bahnstraße), Pöchlarn (A)",PAPB,Austria,81
8171070,"Bahnhof (Bahnstraße), Sigmundsherberg (A)",PABBQ,Austria,81
8178385,"Bahnhof (Bahnstraße), St. Egyden am Steinfeld (A)",PAAYK,Austria,81
8175078,"Bahnhof (Busbahnhof), Amstetten (A)",PAAKO,Austria,81
8172052,"Bahnhof (Busbahnhof), Bruck an der Mur (A)",PAAIK,Austria,81
8176209,"Bahnhof (Busbahnhof), Ebreichsdorf (A)",PAAQH,Austria,81
8179031,"Bahnhof (Busbahnhof), Gmünd (A)",PAGBB,Austria,81
8170130,"Bahnhof (Busbahnhof), Hollabrunn (A)",PAAUR,Austria,81
8171054,"Bahnhof (Busbahnhof), Leibnitz (A)",PAANL,Austria,81
8175065,"Bahnhof (Busbahnhof), Melk (A)",PAAPK,Austria,81
8174161,"Bahnhof (Busbahnhof), Schwechat (A)",PASCB,Austria,81
8175161,"Bahnhof (Busbahnhof), St. Veit an der Glan (A)",PAVGB,Austria,81
8174023,"Bahnhof (Busbahnhof), Wieselburg (A)",PAWB,Austria,81
8120201,"Bahnhof (Busbahnhof), Wolfsberg Kärnten (A)",PAGCD,Austria,81
8177206,"Bahnhof (Busterminal), Attnang-Puchheim (A)",PAAP,Austria,81
8172075,"Bahnhof (Busterminal), Ried im Innkreis (A)",PARIB,Austria,81
8196208,"Bahnhof (Castelligasse), Bad Vöslau (A)",PABVV,Austria,81
8177158,"Bahnhof (Eisenbahnergasse), Ebensee (A)",PAAQZ,Austria,81
8178059,"Bahnhof (Franz-Dinhobl-Straße), Ternitz (A)",PAADC,Austria,81
8172206,"Bahnhof (Gutenshamer Straße), Eberschwang (A)",PABDD,Austria,81
8174188,"Bahnhof (Hauptstraße), Munderfing (A)",PAASC,Austria,81
8172133,"Bahnhof (Hessenplatz 1), Steyr (A)",PAAET,Austria,81
8177213,"Bahnhof (Johann-Wurth-Gasse), Münchendorf (A)",PAARA,Austria,81
8173207,"Bahnhof (Kaplanplatz), Mürzzuschlag (A)",PAAJJ,Austria,81
8172126,"Bahnhof (Klosterneuburger Str), Langenzersdorf (A)",PALKS,Austria,81
8177132,"Bahnhof (Landesstraße), Laßnitzthal (A)",PAAMN,Austria,81
8173010,"Bahnhof (Landesstraße), Wartberg im Mürztal (A)",PAAIR,Austria,81
8173091,"Bahnhof (Lastenstraße), Krieglach (A)",PAAJH,Austria,81
8170237,"Bahnhof (Lauriacumstraße), Enns (A)",PAADP,Austria,81
8171122,"Bahnhof (Mühlenweg), Schwertberg (A)",PAAEE,Austria,81
8177505,"Bahnhof (Obergeschoß/B1), Attnang-Puchheim (A)",PAAYH,Austria,81
8194365,"Bahnhof (P+R Nord), Grafenstein (A)",PAGPR,Austria,81
8175507,"Bahnhof (P+R Süd), Blindenmarkt (A)",PAAPZ,Austria,81
8178094,"Bahnhof (P+R), Deutschkreutz (A)",PAAGT,Austria,81
8170295,"Bahnhof (P+R), Hollabrunn (A)",PAHBB,Austria,81
8170224,"Bahnhof (Rechte Bahnzeile), Tattendorf (A)",PAATN,Austria,81
8171364,"Bahnhof (Spielfelder Straße), Ehrenhausen (A)",PAANQ,Austria,81
8177031,"Bahnhof (St. Johanner Straße), Hartberg (A)",PAAUC,Austria,81
8179063,"Bahnhof (Südseite), Jenbach (A)",PAJBS,Austria,81
8178462,"Bahnhof (Südseite), Neunkirchen (A)",PAAYM,Austria,81
8176044,"Bahnhof (Südseite), Wolkersdorf im Weinviertel (A)",PAALI,Austria,81
8185346,"Bahnhof (Vorplatz), Allentsteig (A)",PABBY,Austria,81
8172071,"Bahnhof (Vorplatz), Antiesenhofen (A)",PAAOT,Austria,81
8172374,"Bahnhof (Vorplatz), Bad Aussee (A)",PABAB,Austria,81
8164257,"Bahnhof (Vorplatz), Bad Hofgastein (A)",PABHB,Austria,81
8192006,"Bahnhof (Vorplatz), Bad Mitterndorf (A)",PABM,Austria,81
8171803,"Bahnhof (Vorplatz), Bleiburg (A)",PAAID,Austria,81
8174328,"Bahnhof (Vorplatz), Braunau am Inn (A)",PABIB,Austria,81
8177287,"Bahnhof (Vorplatz), Dölsach (A)",PAADA,Austria,81
8173197,"Bahnhof (Vorplatz), Ebenfurth (A)",PAAOZ,Austria,81
8172025,"Bahnhof (Vorplatz), Feldkirchen in Kärnten (A)",PAFKB,Austria,81
8177137,"Bahnhof (Vorplatz), Freistadt (A)",PAAGK,Austria,81
8157138,"Bahnhof (Vorplatz), Friedberg (A)",PAATT,Austria,81
8177121,"Bahnhof (Vorplatz), Frohnleiten (A)",PAAMK,Austria,81
8175261,"Bahnhof (Vorplatz), Garsten (A)",PAAFO,Austria,81
8171048,"Bahnhof (Vorplatz), Gleisdorf (A)",PAAHS,Austria,81
8178003,"Bahnhof (Vorplatz), Gloggnitz (A)",OAGLV,Austria,81
8171401,"Bahnhof (Vorplatz), Großweikersdorf (A)",PABBS,Austria,81
8177162,"Bahnhof (Vorplatz), Grünau im Almtal (A)",PABAO,Austria,81
8173013,"Bahnhof (Vorplatz), Gutenstein (A)",PAAVD,Austria,81
8170296,"Bahnhof (Vorplatz), Göllersdorf (A)",PAAUT,Austria,81
8179240,"Bahnhof (Vorplatz), Herzogenburg (A)",PAAHI,Austria,81
8171169,"Bahnhof (Vorplatz), Hieflau (A)",PAAHZ,Austria,81
8178220,"Bahnhof (Vorplatz), Judenburg (A)",PAJBV,Austria,81
8179022,"Bahnhof (Vorplatz), Knittelfeld (A)",PAKBV,Austria,81
8172319,"Bahnhof (Vorplatz), Liezen (A)",PAABD,Austria,81
8178222,"Bahnhof (Vorplatz), Marchegg (A)",PAAGZ,Austria,81
8174488,"Bahnhof (Vorplatz), Maria-Lanzendorf (A)",PAAFA,Austria,81
8173043,"Bahnhof (Vorplatz), Markt Piesting (A)",PAAVE,Austria,81
8174326,"Bahnhof (Vorplatz), Mauerkirchen (A)",PAMBV,Austria,81
8179109,"Bahnhof (Vorplatz), Micheldorf Oberösterreich (A)",PAACV,Austria,81
8173101,"Bahnhof (Vorplatz), Neumarkt Steiermark (A)",PANSB,Austria,81
8179220,"Bahnhof (Vorplatz), Pettenbach (A)",PABBA,Austria,81
8176310,"Bahnhof (Vorplatz), Pfaffstätten (A)",PAARS,Austria,81
8176190,"Bahnhof (Vorplatz), Pregarten (A)",PAAGG,Austria,81
8178197,"Bahnhof (Vorplatz), Puchberg am Schneeberg (A)",PAAVZ,Austria,81
8178169,"Bahnhof (Vorplatz), Raasdorf (A)",PAAGX,Austria,81
8178112,"Bahnhof (Vorplatz), Sattledt (A)",PABAT,Austria,81
8172322,"Bahnhof (Vorplatz), Schladming (A)",PAABG,Austria,81
8164001,"Bahnhof (Vorplatz), Schärding (A)",PASHB,Austria,81
8178325,"Bahnhof (Vorplatz), Semmering (A)",OASBV,Austria,81
8179060,"Bahnhof (Vorplatz), St. Andrä Lavanttal (A)",PASAV,Austria,81
8172077,"Bahnhof (Vorplatz), St. Martin im Innkreis (A)",PASMV,Austria,81
8179241,"Bahnhof (Vorplatz), Statzendorf (A)",PASVL,Austria,81
8176512,"Bahnhof (Vorplatz), Steinfeld (A)",PABDQ,Austria,81
8173288,"Bahnhof (Vorplatz), Straßwalchen (A)",PAARY,Austria,81
8177194,"Bahnhof (Vorplatz), Timelkam (A)",PAASI,Austria,81
8170372,"Bahnhof (Vorplatz), Wildon (A)",PAANH,Austria,81
8178179,"Bahnhof (Vorplatz), Willendorf (A)",PAAVY,Austria,81
8177115,"Bahnhof (Vorplatz), Wolfsthal (A)",PAAQV,Austria,81
8170128,"Bahnhof (Vorplatz), Zellerndorf (A)",PAZBV,Austria,81
8172323,"Bahnhof (Vorplatz), Öblarn (A)",PAABH,Austria,81
8177116,"Bahnhof (Westseite), Bad Deutsch-Altenburg (A)",PAAQW,Austria,81
8175017,"Bahnhof (Westseite/P+R), St. Valentin (A)",PAAFC,Austria,81
8177464,"Bahnhof (Zugang Bahnsteig 1), Bad Ischl (A)",PAARE,Austria,81
8173191,"Bahnhof West (Köstendorfer Str), Straßwalchen (A)",PAARX,Austria,81
815024,"Bahnhof, Alpirsbach",D815024,Austria,81
810022,"Bahnhof, Amstetten",D810022,Austria,81
815043,"Bahnhof, Baiersbronn",D815043,Austria,81
8171002,"Bahnhof, Bludenz (A)",PAANM,Austria,81
8172006,"Bahnhof, Bregenz (A)",OAB B,Austria,81
8173059,"Bahnhof, Dornbirn (A)",PADBV,Austria,81
8101902,"Bahnhof, Feldkirch (A)",OSICI,Austria,81
8174193,"Bahnhof, Fieberbrunn (A)",PAAKC,Austria,81
8184032,"Bahnhof, Frastanz (A)",PAFVL,Austria,81
810201,"Bahnhof, Geislingen an der Steige",PQG B,Austria,81
818094,"Bahnhof, Giengen an der Brenz",PQGBB,Austria,81
8173573,"Bahnhof, Hall in Tirol (A)",PAAJK,Austria,81
815217,"Bahnhof, Hausach",PQHAB,Austria,81
8174132,"Bahnhof, Hochfilzen (A)",PAAKA,Austria,81
8101900,"Bahnhof, Hohenems (A)",PAHHB,Austria,81
8174073,"Bahnhof, Hopfgarten Brixental (A)",PAAJV,Austria,81
8179287,"Bahnhof, Imsterberg (A)",PAANY,Austria,81
8193560,"Bahnhof, Kematen in Tirol (A)",PAKMV,Austria,81
8175131,"Bahnhof, Kirchbichl (A)",PAAKV,Austria,81
8174133,"Bahnhof, Kitzbühel (A)",OABQF,Austria,81
8175282,"Bahnhof, Kufstein (A)",PAAKX,Austria,81
8175326,"Bahnhof, Kundl (A)",PAAKZ,Austria,81
8177179,"Bahnhof, Lienz (A)",OACNO,Austria,81
8171263,"Bahnhof, Ludesch (A)",PALVP,Austria,81
8173021,"Bahnhof, Lustenau (A)",OALUB,Austria,81
8173343,"Bahnhof, Matrei am Brenner (A)",PABCS,Austria,81
8171250,"Bahnhof, Nenzing (A)",PANBV,Austria,81
8171260,"Bahnhof, Nüziders (A)",PANBW,Austria,81
819001,"Bahnhof, Otterbach",D819001,Austria,81
819002,"Bahnhof, Otterbach",D819002,Austria,81
8185575,"Bahnhof, Rankweil (A)",PSNKJ,Austria,81
8173020,"Bahnhof, Rum (A)",PAAIT,Austria,81
8173397,"Bahnhof, Scharnitz (A)",OABIX,Austria,81
815388,"Bahnhof, Schenkenzell",D815388,Austria,81
8179065,"Bahnhof, Schwaz (A)",PAAMW,Austria,81
8173289,"Bahnhof, Seefeld in Tirol (A)",OABEQ,Austria,81
8177025,"Bahnhof, Sillian (A)",OACII,Austria,81
8176005,"Bahnhof, St. Anton am Arlberg (A)",OACBH,Austria,81
8174076,"Bahnhof, St. Johann in Tirol (A)",PAAJY,Austria,81
8171187,"Bahnhof, St. Michael in Obersteiermark (A)",PAAAY,Austria,81
8173344,"Bahnhof, Steinach am Brenner (A)",PABCT,Austria,81
8174075,"Bahnhof, Westendorf (A)",PAAJX,Austria,81
8173208,"Bahnhof, Winzendorf-Muthmannsdorf (A)",PAAVO,Austria,81
8192351,"Bahnhof, Wolfurt (A)",PAWSS,Austria,81
810003,"Bahnhof, Wustermark",D810003,Austria,81
8173113,"Bahnhof, Zirl (A)",PAZWU,Austria,81
8193558,"Bahnhof/Landesstraße, Völs (A)",PAVBL,Austria,81
810276,"Bahnhofssteg, Göppingen",D810276,Austria,81
810238,"Bahnhofstraße, Gingen an der Fils",D810238,Austria,81
8167114,"Bahnhofstraße, Grafendorf bei Hartberg (A)",PAATW,Austria,81
8179062,"Bahnhofstraße, St. Paul im Lavanttal (A)",PAPLV,Austria,81
8173030,"Bahnhofstraße/Kreisverkehr, Wattens (A)",PAAIY,Austria,81
8175504,"Bahnhst (Aufeldstraße), Petzenkirchen (A)",PAPBV,Austria,81
8186133,"Bahnhst (B100), Berg im Drautal (A)",PAADM,Austria,81
