origin_id,destination_id,origin_station_name,destination_station_name,min_duration_minutes,transfers,trains,check_date,origin_city_name,origin_eva_id,origin_latitude,origin_longitude,destination_city_name,destination_eva_id,destination_latitude,destination_longitude,route_length,hsr_share
8800004,8000284,Bruxelles Midi,Nürnberg Hbf,333,4,,2026-01-06,Brussels,8800004,50.835376,4.335694,Nuremberg,8000284,49.445616,11.082989,625.68116571196,0.5875314356879793
8800004,8000086,Bruxelles Midi,Duisburg Hbf,155,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Duisburg,8000086,51.429785,6.775903,287.4246662719034,0.6853457385762775
8800004,8601242,Bruxelles Midi,Koebenhavns Lufthavn st,723,6,,2026-01-06,Brussels,8800004,50.835376,4.335694,Copenhagen,8601242,55.629605,12.649382,1169.0265717213013,0.35819370366542835
8800004,7100064,Bruxelles Midi,Barcelona Sants,546,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Barcelona,7100064,41.378914,2.140369,1380.191025613945,0.8505648285368598
8800004,8700047,Bruxelles Midi,Bordeaux-St-Jean,271,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Bordeaux,8700047,44.826486,-0.55592,900.2693676163964,0.9340764092218109
8103000,8800004,Wien Hbf,Bruxelles Midi,622,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Brussels,8800004,50.835376,4.335694,1137.2379100146059,0.46431297620820194
8103000,8800007,Wien Hbf,Antwerpen Centraal,653,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Antwerp,8800007,51.215811,4.421168,1151.9119297527523,0.44170156201352295
8103000,5400014,Wien Hbf,Praha hl.n.,253,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Prague,5400014,50.083062,14.436039,349.18094207375515,0.1204246077619521
8103000,8011160,Wien Hbf,Berlin Hbf,429,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Berlin,8011160,52.525592,13.369545,959.1033856936617,0.48678694173614917
8103000,8000096,Wien Hbf,Stuttgart Hbf,391,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Stuttgart,8000096,48.78478,9.182757,657.5501833224042,0.4132384393413545
