origin_city,destination_city,air_origin_airport,air_destination_airport,air_distance_km,air_flight_duration_min,air_total_travel_time_min,air_overhead_min,origin_city_lat,origin_city_lng,destination_city_lat,destination_city_lng,rail_origin_station_name,rail_destination_station_name,rail_travel_time_mins,rail_uses_hsr,rail_origin_transit_time_mins,rail_destination_transit_time_mins,rail_total_travel_time_min,best_time_min
Antwerp,Milan,,,,,,,,,,,Antwerpen Centraal,Milano Porta Garibaldi,601.0,False,3.5284359653773953,4.707315782392735,619.2357517477701,619.2357517477701
Antwerp,Munich,,,,,,,,,,,Antwerpen Centraal,München Hbf,433.0,False,3.5284359653773953,3.0560823139438047,449.58451827932123,449.58451827932123
Antwerp,Málaga,ANR,AGP,1762.0,180.0,318.99,138.99,51.2178,4.4003,36.7194,-4.42,,,,,,,,318.99
Antwerp,Nuremberg,,,,,,,,,,,Antwerpen Centraal,Nürnberg Hbf,364.0,False,3.5284359653773953,2.407122595922898,379.9355585613003,379.9355585613003
Antwerp,Poznań,,,,,,,,,,,Antwerpen Centraal,Poznan Glowny,598.0,False,3.5284359653773953,4.065435329407926,615.5938712947853,615.5938712947853
Antwerp,Prague,,,,,,,,,,,Antwerpen Centraal,Praha hl.n.,691.0,False,3.5284359653773953,2.772415453338628,707.3008514187161,707.3008514187161
Antwerp,Rome,,,,,,,,,,,Antwerpen Centraal,Roma Tiburtina,847.0,True,3.5284359653773953,10.76586299605856,871.294298961436,871.294298961436
Antwerp,Rotterdam,,,,,,,,,,,Antwerpen Centraal,Rotterdam Centraal,32.0,False,3.5284359653773953,2.249226316777232,47.77766228215463,47.77766228215463
Antwerp,Stockholm,,,,,,,,,,,Antwerpen Centraal,Stockholm Central,1166.0,False,3.5284359653773953,1.5022922376589065,1181.0307282030362,1181.0307282030362
Antwerp,Stuttgart,,,,,,,,,,,Antwerpen Centraal,Stuttgart Hbf,317.0,False,3.5284359653773953,2.002376007570269,332.5308119729477,332.5308119729477
Antwerp,Tilburg,,,,,,,,,,,Antwerpen Centraal,Tilburg,58.0,True,3.5284359653773953,2.8326204398011785,74.36105640517857,74.36105640517857
Antwerp,Toulouse,,,,,,,,,,,Antwerpen Centraal,Toulouse-Matabiau,475.0,False,3.5284359653773953,2.6617812245934145,491.19021718997084,491.19021718997084
Antwerp,Turin,,,,,,,,,,,Antwerpen Centraal,Torino Porta Susa,522.0,False,3.5284359653773953,2.8476007865249664,538.3760367519023,538.3760367519023
Antwerp,Vienna,,,,,,,,,,,Antwerpen Centraal,Wien Hbf,653.0,False,3.5284359653773953,6.245212775155993,672.7736487405334,672.7736487405334
Antwerp,Warsaw,,,,,,,,,,,Antwerpen Centraal,Warszawa Centralna,745.0,False,3.5284359653773953,1.3212540896707794,759.8496900550482,759.8496900550482
Antwerp,Wrocław,,,,,,,,,,,Antwerpen Centraal,Wroclaw Glowny,740.0,False,3.5284359653773953,3.2731677390709937,756.8016037044484,756.8016037044484
Antwerp,Zagreb,,,,,,,,,,,Antwerpen Centraal,Zagreb Glavni kolodvor,1145.0,False,3.5284359653773953,2.3224288673449607,1160.8508648327224,1160.8508648327224
Athens,Amsterdam,ATH,AMS,2184.0,220.0,386.81,166.81,37.9842,23.7281,52.3728,4.8936,,,,,,,,386.81
Athens,Barcelona,ATH,BCN,1909.0,195.0,363.16,168.16000000000003,37.9842,23.7281,41.3828,2.1769,,,,,,,,363.16
