departure_city_name,departure_airport_code,arrival_city_name,arrival_airport_code,distance_km,flight_duration_minutes,total_travel_time_mins
bordeaux,BOD,valencia,VLC,593,88,235.54
bordeaux,BOD,copenhagen,CPH,1527,155,300.36
bremen,BRE,munich,MUC,564,75,242.56
bremen,BRE,frankfurt,FRA,334,60,199.91
bremen,BRE,amsterdam,AMS,284,55,196.39
bremen,BRE,stuttgart,STR,486,70,208.94
bremen,BRE,vienna,VIE,776,95,245.28
bremen,BRE,malaga,AGP,2093,200,336.27
brussels,BRU,madrid,MAD,1313,145,302.62
brussels,BRU,barcelona,BCN,1082,120,274.52
brussels,BRU,frankfurt,FRA,305,60,211.68
brussels,BRU,vienna,VIE,926,105,267.05
brussels,BRU,munich,MUC,598,75,254.33
brussels,BRU,malaga,AGP,1734,175,323.04
brussels,BRU,rome,FCO,1173,125,294.41
brussels,BRU,copenhagen,CPH,756,90,236.99
brussels,BRU,lisbon,LIS,1718,175,319.15
brussels,BRU,milan,LIN,701,85,231.64
brussels,BRU,warsaw,WAW,1150,120,266.75
brussels,BRU,berlin,BER,645,85,248.62
brussels,BRU,amsterdam,AMS,158,55,208.17
brussels,BRU,stockholm,ARN,1291,130,320.87
brussels,BRU,athens,ATH,2103,180,345.97
brussels,BRU,helsinki,HEL,1651,155,315.82
brussels,BRU,hamburg,HAM,484,70,219.74
brussels,BRU,prague,PRG,699,85,238.01
brussels,BRU,budapest,BUD,1142,115,276.86
brussels,BRU,paris,CDG,251,60,230.09
brussels,BRU,valencia,VLC,1325,135,284.18
brussels,BRU,lyon,LYS,577,85,249.87
brussels,BRU,marseille,MRS,830,100,266.32
brussels,BRU,milan,MXP,664,85,283.05
brussels,BRU,toulouse,TLS,841,100,245.6
brussels,BRU,gothenburg,GOT,907,100,266.14
brussels,BRU,zagreb,ZAG,1031,125,277.69
brussels,BRU,riga,RIX,1439,143,291.52
brussels,BRU,naples,NAP,1345,140,286.42
brussels,BRU,sevilla,SVQ,1708,160,309.31
brussels,BRU,ljubljana,LJU,899,100,266.7
brussels,BRU,bucharest,OTP,1757,160,319.51
brussels,BRU,tallinn,TLL,1594,145,286.85
brussels,BRU,vilnius,VNO,1457,140,283.52
brussels,BRU,krakow,KRK,1088,120,271.7
brussels,BRU,sofia,SOF,1701,150,296.7
bratislava,BTS,milan,BGY,636,90,290.26
bratislava,BTS,brussels,CRL,960,115,312.78
bratislava,BTS,tilburg,EIN,924,115,282.78
bratislava,BTS,athens,ATH,1261,120,282.07
bratislava,BTS,rome,CIA,795,95,247.94
bratislava,BTS,sofia,SOF,778,90,232.79
bratislava,BTS,milan,MXP,706,95,289.14
budapest,BUD,warsaw,WAW,541,75,231.28
budapest,BUD,amsterdam,AMS,1171,125,287.7
budapest,BUD,frankfurt,FRA,837,105,266.21
budapest,BUD,milan,MXP,833,105,312.58
budapest,BUD,munich,MUC,567,80,268.86
budapest,BUD,barcelona,BCN,1525,155,319.05
budapest,BUD,vienna,VIE,216,50,221.58
budapest,BUD,copenhagen,CPH,1019,120,276.53
budapest,BUD,brussels,CRL,1133,125,336.21
budapest,BUD,madrid,MAD,1978,200,367.15
budapest,BUD,berlin,BER,686,90,263.16
budapest,BUD,paris,CDG,1250,150,329.63
budapest,BUD,bucharest,OTP,616,105,274.04
budapest,BUD,stuttgart,STR,762,95,255.25
budapest,BUD,brussels,BRU,1142,130,291.86
budapest,BUD,athens,ATH,1122,120,295.5
budapest,BUD,rome,CIA,819,100,266.38
budapest,BUD,helsinki,HEL,1481,140,310.36
budapest,BUD,milan,BGY,758,95,308.69
budapest,BUD,rome,FCO,837,110,288.94
budapest,BUD,naples,NAP,828,105,260.95
budapest,BUD,stockholm,ARN,1362,138,338.41
budapest,BUD,dusseldorf,DUS,1001,110,263.43
budapest,BUD,tilburg,EIN,1098,135,316.21
budapest,BUD,lisbon,LIS,2485,240,393.68
budapest,BUD,paris,ORY,1264,145,312.13
budapest,BUD,prague,PRG,472,75,237.55
budapest,BUD,valencia,VLC,1817,180,338.71
budapest,BUD,malaga,AGP,2286,220,377.57
budapest,BUD,paris,BVA,1285,135,384.63
budapest,BUD,hamburg,HAM,950,105,264.27
budapest,BUD,sofia,SOF,620,85,241.23
budapest,BUD,luxembourg,LUX,993,125,279.69
budapest,BUD,cologne,CGN,963,110,275.98
budapest,BUD,dortmund,DTM,956,120,281.04
budapest,BUD,gothenburg,GOT,1231,130,305.67
budapest,BUD,nuremberg,NUE,646,90,242.41
budapest,BUD,riga,RIX,1103,120,278.05
budapest,BUD,marseille,MRS,1182,135,310.85
budapest,BUD,sevilla,SVQ,2335,220,378.85
budapest,BUD,lyon,LYS,1101,125,299.4
budapest,BUD,toulouse,TLS,1455,150,305.13
paris,BVA,bucharest,OTP,1892,175,422.28
paris,BVA,rome,FCO,1160,130,387.18
paris,BVA,milan,BGY,709,90,381.93
paris,BVA,barcelona,BCN,906,105,347.29
paris,BVA,milan,MXP,654,90,375.81
paris,BVA,krakow,KRK,1272,130,369.47
paris,BVA,lisbon,LIS,1486,155,386.92
paris,BVA,vienna,VIE,1070,115,364.82
paris,BVA,budapest,BUD,1285,130,379.63
paris,BVA,madrid,MAD,1091,130,375.38
paris,BVA,poznan,POZ,1083,115,349.64
paris,BVA,sofia,SOF,1803,160,394.46
paris,BVA,vilnius,VNO,1681,160,391.29
paris,BVA,copenhagen,CPH,989,115,349.76
paris,BVA,malaga,AGP,1517,155,390.81
paris,BVA,sevilla,SVQ,1484,150,387.08
paris,BVA,zagreb,ZAG,1125,120,360.45
paris,BVA,prague,PRG,877,100,340.78
paris,BVA,valencia,VLC,1126,120,356.95
paris,BVA,stockholm,ARN,1520,150,428.64
paris,BVA,helsinki,HEL,1883,175,423.59
paris,BVA,naples,NAP,1347,135,369.19
paris,BVA,zaragoza,ZAZ,899,105,344.58
paris,BVA,riga,RIX,1670,155,391.29
paris,BVA,turin,TRN,632,85,328.05
paris,CDG,barcelona,BCN,856,110,282.28
paris,CDG,frankfurt,FRA,450,80,249.44
paris,CDG,amsterdam,AMS,399,85,255.93
paris,CDG,rome,FCO,1101,125,312.18
paris,CDG,athens,ATH,2110,190,373.74
paris,CDG,milan,MXP,596,90,305.81
paris,CDG,madrid,MAD,1062,130,305.38
paris,CDG,munich,MUC,682,90,287.09
paris,CDG,copenhagen,CPH,1006,110,274.76
paris,CDG,milan,LIN,642,90,254.41
paris,CDG,toulouse,TLS,604,80,243.36
paris,CDG,berlin,BER,857,105,286.39
paris,CDG,vienna,VIE,1036,115,294.82
paris,CDG,marseille,MRS,651,85,269.09
paris,CDG,warsaw,WAW,1346,135,299.52
paris,CDG,bordeaux,BOD,526,75,243.46
paris,CDG,lisbon,LIS,1471,160,321.91
paris,CDG,lyon,LYS,411,65,247.64
paris,CDG,helsinki,HEL,1900,180,358.59
paris,CDG,stockholm,ARN,1542,150,358.64
paris,CDG,prague,PRG,854,100,270.78
paris,CDG,hamburg,HAM,730,95,262.5
paris,CDG,bucharest,OTP,1853,175,352.27
paris,CDG,dusseldorf,DUS,392,75,236.66
paris,CDG,malaga,AGP,1484,155,320.81
paris,CDG,naples,NAP,1289,135,299.19
paris,CDG,turin,TRN,572,85,258.05
paris,CDG,hannover,HAJ,632,90,259.53
paris,CDG,valencia,VLC,1084,120,286.94
paris,CDG,sevilla,SVQ,1456,155,322.08
paris,CDG,luxembourg,LUX,273,60,222.92
paris,CDG,budapest,BUD,1250,130,309.63
paris,CDG,stuttgart,STR,487,75,243.48
paris,CDG,brussels,BRU,251,55,225.09
paris,CDG,gothenburg,GOT,1159,125,308.9
paris,CDG,zagreb,ZAG,1080,110,280.45
paris,CDG,krakow,KRK,1249,135,304.47
paris,CDG,nuremberg,NUE,621,85,245.65
paris,CDG,riga,RIX,1676,160,326.29
paris,CDG,sofia,SOF,1757,165,329.46
paris,CDG,ljubljana,LJU,944,110,294.47
paris,CDG,tallinn,TLL,1841,170,329.61
paris,CDG,vilnius,VNO,1677,160,321.29
paris,CDG,milan,BGY,653,90,311.93
cologne,CGN,munich,MUC,438,65,248.44
