from_city_name,from_airport_code,to_city_name,to_airport_code,distance_km,flight_duration_minutes,total_journey_time_mins
Barcelona,BCN,Lisbon,LIS,995,120,266.34
Barcelona,BCN,Paris,ORY,825,110,269.79
Barcelona,BCN,Sevilla,SVQ,810,100,251.51
Barcelona,BCN,Malaga,AGP,766,100,250.23
Barcelona,BCN,Frankfurt,FRA,1094,135,288.87
Barcelona,BCN,Munich,MUC,1095,125,306.52
Barcelona,BCN,Brussels,BRU,1082,130,284.52
Barcelona,BCN,Dublin,DUB,1484,170,321.35
Barcelona,BCN,Vienna,VIE,1371,145,309.24
Barcelona,BCN,Berlin,BER,1503,165,330.81
Barcelona,BCN,Copenhagen,CPH,1769,180,329.18
Barcelona,BCN,Dusseldorf,DUS,1165,140,286.09
Barcelona,BCN,Athens,ATH,1909,170,338.16
Barcelona,BCN,Las Palmas,LPA,2174,215,386.46
Barcelona,BCN,Stuttgart,STR,993,125,277.9
Barcelona,BCN,Hamburg,HAM,1493,165,316.93
Barcelona,BCN,Naples,NAP,1026,120,268.61
Barcelona,BCN,Prague,PRG,1359,150,305.2
Barcelona,BCN,Budapest,BUD,1525,155,319.05
Barcelona,BCN,Stockholm,ARN,2316,220,413.07
Barcelona,BCN,Cologne,CGN,1132,140,298.63
Barcelona,BCN,Lyon,LYS,547,90,257.06
Barcelona,BCN,Warsaw,WAW,1872,185,333.94
Barcelona,BCN,Milan,BGY,783,105,311.35
Barcelona,BCN,Bucharest,OTP,1984,195,356.7
Barcelona,BCN,Sofia,SOF,1769,170,318.89
Barcelona,BCN,Turin,TRN,625,90,247.48
Barcelona,BCN,Helsinki,HEL,2631,240,403.02
Barcelona,BCN,Bordeaux,BOD,452,75,227.88
Barcelona,BCN,Paris,BVA,906,120,362.29
Barcelona,BCN,Brussels,CRL,1034,135,338.87
Barcelona,BCN,Krakow,KRK,1682,170,323.89
Barcelona,BCN,Luxembourg,LUX,980,135,282.35
Barcelona,BCN,Palermo,PMO,1005,115,288.1
Barcelona,BCN,Eindhoven,EIN,1156,135,308.87
Barcelona,BCN,Malta,MLA,1238,130,276.77
Barcelona,BCN,Marseille,MRS,351,70,238.51
Barcelona,BCN,Vilnius,VNO,2261,210,355.71
Barcelona,BCN,Riga,RIX,2340,215,365.71
Barcelona,BCN,Rotterdam,RTM,1196,135,280.14
Barcelona,BCN,Valencia,VLC,295,60,211.37
Barcelona,BCN,Gothenburg,GOT,1959,190,358.33
Barcelona,BCN,Hanover,HAJ,1367,155,308.95
Barcelona,BCN,Nuremberg,NUE,1149,140,285.07
Barcelona,BCN,Genoa,GOA,652,100,248.15
Barcelona,BCN,Zagreb,ZAG,1231,125,279.88
Barcelona,BCN,Milan,LIN,743,100,248.83
Barcelona,BCN,Tallinn,TLL,2556,245,389.04
Barcelona,BCN,Larnaca,LCA,2839,230,428.63
Berlin,BER,Frankfurt,FRA,430,70,232.97
Berlin,BER,Vienna,VIE,520,75,248.35
Berlin,BER,Munich,MUC,462,70,260.62
Berlin,BER,Amsterdam,AMS,595,85,249.46
Berlin,BER,Paris,CDG,857,110,291.39
Berlin,BER,Copenhagen,CPH,367,60,218.29
Berlin,BER,Stuttgart,STR,510,70,232.01
Berlin,BER,Barcelona,BCN,1503,155,320.81
Berlin,BER,Rome,FCO,1179,130,310.71
Berlin,BER,Cologne,CGN,471,65,232.74
Berlin,BER,Helsinki,HEL,1130,115,287.12
Berlin,BER,Paris,ORY,886,115,283.89
Berlin,BER,Dusseldorf,DUS,479,70,225.19
Berlin,BER,Madrid,MAD,1852,190,358.91
Berlin,BER,Brussels,BRU,645,85,248.62
Berlin,BER,Dublin,DUB,1329,145,305.46
Berlin,BER,Stockholm,ARN,856,95,297.17
Berlin,BER,Athens,ATH,1797,165,342.27
Berlin,BER,Lisbon,LIS,2307,220,375.44
Berlin,BER,Milan,LIN,827,105,262.94
Berlin,BER,Warsaw,WAW,510,70,228.05
Berlin,BER,Budapest,BUD,686,90,263.16
Berlin,BER,Malaga,AGP,2242,215,374.34
Berlin,BER,Riga,RIX,843,98,257.82
Berlin,BER,Luxembourg,LUX,595,90,246.45
Berlin,BER,Naples,NAP,1277,135,292.72
Berlin,BER,Milan,BGY,795,100,315.46
Berlin,BER,Sofia,SOF,1306,135,292.99
Berlin,BER,Valencia,VLC,1788,180,340.47
Berlin,BER,Vilnius,VNO,820,95,249.82
Berlin,BER,Tallinn,TLL,1053,110,263.14
Berlin,BER,Krakow,KRK,507,75,238.0
Berlin,BER,Milan,MXP,826,105,314.34
Berlin,BER,Gothenburg,GOT,595,75,252.43
Berlin,BER,Bucharest,OTP,1267,130,300.81
Berlin,BER,Marseille,MRS,1167,130,307.62
Berlin,BER,Las Palmas,LPA,3615,315,495.57
Berlin,BER,Bordeaux,BOD,1337,145,306.99
Berlin,BER,Palermo,PMO,1576,150,332.2
Berlin,BER,Larnaca,LCA,2514,223,430.73
Berlin,BER,Malta,MLA,1836,175,330.88
Berlin,BER,Zagreb,ZAG,760,85,248.98
Berlin,BER,Toulouse,TLS,1324,150,306.89
Berlin,BER,Lyon,LYS,960,115,291.17
Milan,BGY,Bucharest,OTP,1292,130,341.34
Milan,BGY,Palermo,PMO,877,100,322.74
Milan,BGY,Brussels,CRL,660,95,348.51
Milan,BGY,Naples,NAP,648,85,283.26
Milan,BGY,Sofia,SOF,1143,120,318.53
Milan,BGY,Barcelona,BCN,783,100,306.35
Milan,BGY,Copenhagen,CPH,1127,125,323.83
Milan,BGY,Vienna,VIE,589,80,293.89
Milan,BGY,Dublin,DUB,1435,145,346.0
Milan,BGY,Valencia,VLC,1079,120,321.01
Milan,BGY,Prague,PRG,600,85,289.85
Milan,BGY,Budapest,BUD,758,90,303.69
Milan,BGY,Krakow,KRK,899,105,308.54
Milan,BGY,Lisbon,LIS,1727,175,370.98
Milan,BGY,Paris,BVA,709,85,376.93
Milan,BGY,Madrid,MAD,1221,140,349.45
Milan,BGY,Warsaw,WAW,1096,120,318.59
Milan,BGY,Malaga,AGP,1549,155,354.88
Milan,BGY,Eindhoven,EIN,718,100,323.52
Milan,BGY,Berlin,BER,795,100,315.46
Milan,BGY,Cologne,CGN,610,90,298.28
Milan,BGY,Stockholm,ARN,1649,160,402.71
Milan,BGY,Poznan,POZ,912,105,303.7
Milan,BGY,Malta,MLA,1162,120,316.42
Milan,BGY,Vilnius,VNO,1489,145,340.36
Milan,BGY,Rome,FCO,476,80,301.24
Milan,BGY,Athens,ATH,1458,140,357.81
Milan,BGY,Bratislava,BTS,636,85,285.26
Milan,BGY,Helsinki,HEL,1915,180,392.66
Milan,BGY,Luxembourg,LUX,512,80,276.99
Milan,BGY,Dusseldorf,DUS,660,95,290.73
