origin_id,destination_id,origin_name,destination_name,min_duration_minutes,transfers,trains,check_date
8002549,8003368,Hamburg Hbf,Köln Messe/Deutz,254,4,,2026-01-06
8002549,8000105,Hamburg Hbf,Frankfurt(Main)Hbf,215,0,,2026-01-06
8002549,8000085,Hamburg Hbf,Düsseldorf Hbf,220,2,,2026-01-06
8002549,8010205,Hamburg Hbf,Leipzig Hbf,237,0,,2026-01-06
8002549,8000080,Hamburg Hbf,Dortmund Hbf,167,0,,2026-01-06
8002549,8000098,Hamburg Hbf,Essen Hbf,193,2,,2026-01-06
8002549,8000050,Hamburg Hbf,Bremen Hbf,56,0,,2026-01-06
8002549,8010085,Hamburg Hbf,Dresden Hbf,306,4,,2026-01-06
8002549,8000152,Hamburg Hbf,Hannover Hbf,75,0,,2026-01-06
8002549,8000284,Hamburg Hbf,Nürnberg Hbf,264,0,,2026-01-06
8002549,8000086,Hamburg Hbf,Duisburg Hbf,206,2,,2026-01-06
8002549,8601242,Hamburg Hbf,Koebenhavns Lufthavn st,321,2,,2026-01-06
8002549,7100064,Hamburg Hbf,Barcelona Sants,1025,4,,2026-01-06
8002549,8700012,Hamburg Hbf,Paris Lyon Banlieue,503,4,,2026-01-06
8002549,8700047,Hamburg Hbf,Bordeaux-St-Jean,645,4,,2026-01-06
8002549,8700074,,,-1,0,,2026-01-06
8002549,8700152,,,-1,0,,2026-01-06
8002549,8700065,,,-1,0,,2026-01-06
8002549,7800020,,,-1,0,,2026-01-06
8002549,5500728,,,-1,0,,2026-01-06
8002549,8300262,,,-1,0,,2026-01-06
8002549,8300047,,,-1,0,,2026-01-06
8002549,8300522,,,-1,0,,2026-01-06
8002549,8300153,,,-1,0,,2026-01-06
8002549,8200100,Hamburg Hbf,Luxembourg,434,2,,2026-01-06
8002549,8400597,Hamburg Hbf,Tilburg,341,4,,2026-01-06
8002549,8400058,Hamburg Hbf,Amsterdam Centraal,315,2,,2026-01-06
8002549,8400530,Hamburg Hbf,Rotterdam Centraal,331,4,,2026-01-06
8002549,5100065,Hamburg Hbf,Warszawa Centralna,488,2,,2026-01-06
8002549,5100028,Hamburg Hbf,Krakow Glowny,595,2,,2026-01-06
